segment,计数,count_std
中国,6446,92.2588911978
工作,3796,54.2541700329
公司,3004,42.8957778961
发展,2976,42.4942185781
国家,2961,42.2790975149
新,2769,39.525547906
报道,2729,38.9518917375
美国,2684,38.3065285479
韩国,2567,36.628584255
城市,2508,35.7824414064
北京,2430,34.6638118778
企业,2336,33.3157198817
情况,2218,31.6234341846
政府,2091,29.8020758495
相关,2080,29.6443204031
经济,2037,29.027640022
发现,1936,27.5791581965
政策,1916,27.2923301122
调查,1793,25.528337394
市场,1788,25.4566303729
时间,1710,24.3380008443
孩子,1694,24.1085383769
中心,1673,23.8073688884
社会,1641,23.3484439536
发生,1615,22.975567444
全国,1575,22.4019112755
建设,1569,22.3158628502
总统,1506,21.4123543848
新闻,1506,21.4123543848
改革,1501,21.3406473637
部门,1466,20.8386982163
人员,1405,19.9638725593
项目,1401,19.9065069424
去年,1397,19.8491413256
元,1391,19.7630929003
万元,1388,19.7200686876
医院,1384,19.6627030708
特朗普,1368,19.4332406034
显示,1348,19.1464125191
包括,1331,18.9026086475
朝鲜,1322,18.7735360096
岁,1320,18.7448532012
住房,1316,18.6874875843
朴槿惠,1296,18.4006595
提出,1290,18.3146110748
报告,1285,18.2429040537
里,1277,18.12817282
提供,1258,17.8556861399
信息,1257,17.8413447357
2017,1248,17.7122720978
服务,1244,17.654906481
地区,1233,17.4971510346
日本,1206,17.1099331209
影响,1190,16.8804706534
学生,1188,16.851787845
电缆,1176,16.6796909945
接受,1175,16.6653495902
发布,1163,16.4932527397
学校,1160,16.450228527
房地产,1158,16.4215457186
名,1145,16.2351074638
副,1144,16.2207660596
告诉,1135,16.0916934217
媒体,1118,15.8478895501
价格,1118,15.8478895501
管理,1114,15.7905239332
一名,1098,15.5610614658
地方,1096,15.5323786574
警方,1090,15.4463302321
生活,1064,15.0734537226
高,1057,14.9730638931
投资,1052,14.901356872
希望,1050,14.8726740636
法院,1049,14.8583326594
进一步,1040,14.7292600215
介绍,1030,14.5858459793
研究,1017,14.3994077246
事件,1008,14.2703350866
组织,1000,14.1556038529
会议,998,14.1269210445
合作,993,14.0552140234
教育,990,14.0121898108
实施,982,13.8974585771
推进,981,13.8831171729
过程,981,13.8831171729
工作人员,964,13.6393133013
方式,951,13.4528750465
有限公司,942,13.3238024086
政治,935,13.2234125791
这是,930,13.151705558
关系,927,13.1086813454
产品,919,12.9939501117
想,919,12.9939501117
未,893,12.6210736021
集团,893,12.6210736021
建议,887,12.5350251769
代表,883,12.47765956
销售,882,12.4633181558
保护,881,12.4489767516
关注,874,12.3485869221
案件,872,12.3199041137
死亡,870,12.2912213052
现场,870,12.2912213052
上海,858,12.1191244547
国际,846,11.9470276041
技术,845,11.9326861999
法律,841,11.875320583
制度,836,11.803613562
号,833,11.7605893493
支持,832,11.7462479451
银行,830,11.7175651367
两个,820,11.5741510946
京报,816,11.5167854777
指出,812,11.4594198609
单位,810,11.4307370524
负责人,808,11.402054244
约,800,11.2873230103
期间,796,11.2299573935
世界,795,11.2156159892
机构,794,11.201274585
区域,792,11.1725917766
奥凯,791,11.1582503724
购买,790,11.1439089682
增加,790,11.1439089682
原因,789,11.129567564
超过,776,10.9431293092
标准,771,10.8714222881
生产,763,10.7566910544
房价,762,10.7423496502
数据,760,10.7136668418
活动,760,10.7136668418
习近平,753,10.6132770123
推动,752,10.5989356081
特别,744,10.4842043744
提高,742,10.4555215659
地铁,742,10.4555215659
采访,742,10.4555215659
公开,739,10.4124973533
家,738,10.3981559491
钱,737,10.3838145449
能力,736,10.3694731407
解决,736,10.3694731407
参加,735,10.3551317365
我国,726,10.2260590985
男子,726,10.2260590985
一位,726,10.2260590985
创新,725,10.2117176943
此前,725,10.2117176943
计划,723,10.1830348859
系统,721,10.1543520775
导致,714,10.053962248
措施,707,9.95357241848
资金,703,9.89620680163
主任,701,9.86752399321
调控,700,9.85318258899
建立,695,9.78147556793
内容,693,9.7527927595
部署,687,9.66674433422
调整,685,9.6380615258
质量,684,9.62372012158
文化,677,9.52333029209
网络,676,9.50898888788
环境,675,9.49464748366
执行,673,9.46596467524
走,672,9.45162327102
平台,663,9.32255063311
责任,661,9.29386782468
贷款,660,9.27952642047
万,659,9.26518501625
澎湃,658,9.25084361204
中央,654,9.19347799519
单车,653,9.17913659097
第一,651,9.15045378255
出台,648,9.10742956991
比例,647,9.0930881657
手机,645,9.06440535727
参与,645,9.06440535727
民警,642,9.02138114463
医疗,637,8.94967412356
领导,637,8.94967412356
一种,637,8.94967412356
未来,637,8.94967412356
共享,634,8.90664991092
对此,634,8.90664991092
儿子,632,8.8779671025
最终,631,8.86362569829
两会,630,8.84928429407
视频,627,8.80626008143
限购,624,8.76323586879
增长,624,8.76323586879
应,623,8.74889446458
亿元,621,8.72021165615
犯罪,620,8.70587025194
点,619,8.69152884773
当天,618,8.67718744351
专家,616,8.64850463509
北京市,614,8.61982182666
这一,612,8.59113901824
保障,606,8.50509059296
嫌疑人,605,8.49074918874
综合,601,8.43338357189
萨德,601,8.43338357189
一家,598,8.39035935925
总理,598,8.39035935925
落实,597,8.37601795504
网友,596,8.36167655082
人士,593,8.31865233819
英国,593,8.31865233819
一年,588,8.24694531712
西安,588,8.24694531712
持续,587,8.23260391291
部长,586,8.21826250869
重点,586,8.21826250869
申请,582,8.16089689184
涉及,577,8.08918987077
利用,575,8.06050706235
国内,574,8.04616565814
事情,574,8.04616565814
意见,572,8.01748284971
干部,572,8.01748284971
回应,570,7.98880004128
行业,570,7.98880004128
老师,568,7.96011723286
俄罗斯,567,7.94577582864
住,566,7.93143442443
有人,564,7.902751616
区,564,7.902751616
买,561,7.85972740336
之间,557,7.80236178651
网站,557,7.80236178651
公布,556,7.7880203823
领域,555,7.77367897809
目标,552,7.73065476545
检查,551,7.71631336123
选择,549,7.68763055281
电话,549,7.68763055281
收入,548,7.67328914859
全球,548,7.67328914859
委员会,547,7.65894774438
委员,547,7.65894774438
家庭,543,7.60158212753
房子,543,7.60158212753
依法,543,7.60158212753
占,542,7.58724072331
群众,542,7.58724072331
稳定,538,7.52987510646
主席,538,7.52987510646
监管,537,7.51553370225
外,533,7.4581680854
近日,531,7.42948527697
负责,529,7.40080246854
成立,529,7.40080246854
市,527,7.37211966012
控制,527,7.37211966012
小时,526,7.3577782559
消费者,526,7.3577782559
条件,523,7.31475404326
人口,523,7.31475404326
历史,517,7.22870561799
作用,517,7.22870561799
风险,516,7.21436421377
利益,514,7.18568140535
机制,513,7.17134000113
完善,512,7.15699859692
事故,510,7.12831578849
通知,510,7.12831578849
需求,509,7.11397438428
战略,509,7.11397438428
正,506,7.07095017164
正式,505,7.05660876743
儿童,505,7.05660876743
带来,502,7.01358455479
规划,499,6.97056034215
分析,498,6.95621893794
2013,497,6.94187753372
楼市,494,6.89885332108
网,491,6.85582910844
原,491,6.85582910844
房,491,6.85582910844
官员,489,6.82714630002
医生,486,6.78412208738
证明,486,6.78412208738
健康,484,6.75543927895
违法,483,6.74109787474
患者,483,6.74109787474
记录,481,6.71241506631
家长,479,6.68373225789
非,477,6.65504944946
经营,477,6.65504944946
香港,476,6.64070804525
透露,474,6.61202523682
联合,471,6.56900102418
通报,467,6.51163540733
涉嫌,467,6.51163540733
拥有,466,6.49729400311
作出,464,6.46861119469
线,462,6.43992838626
事,462,6.43992838626
成功,461,6.42558698205
吃,460,6.41124557784
乐天,459,6.39690417362
微信,459,6.39690417362
方案,457,6.3682213652
受伤,457,6.3682213652
提升,456,6.35387996098
找,456,6.35387996098
开发,455,6.33953855677
药品,454,6.32519715256
中方,454,6.32519715256
日电,454,6.32519715256
监督,453,6.31085574834
居民,452,6.29651434413
精神,451,6.28217293992
土地,451,6.28217293992
身份,450,6.2678315357
维护,449,6.25349013149
女士,446,6.21046591885
体系,445,6.19612451464
父母,444,6.18178311042
食品,444,6.18178311042
游客,442,6.153100302
基础,442,6.153100302
下降,440,6.12441749357
面临,436,6.06705187672
购房,435,6.05271047251
张,431,5.99534485565
专业,429,5.96666204723
发言人,429,5.96666204723
"
",428,5.95232064301
民众,428,5.95232064301
业务,428,5.95232064301
位于,427,5.9379792388
工程,427,5.9379792388
国,422,5.86627221774
学习,422,5.86627221774
办理,421,5.85193081352
总书记,421,5.85193081352
制定,420,5.83758940931
陕西,420,5.83758940931
司法,419,5.8232480051
人民币,417,5.79456519667
上涨,417,5.79456519667
引发,416,5.78022379246
费用,416,5.78022379246
大学,415,5.76588238824
警察,413,5.73719957982
站,413,5.73719957982
核心,412,5.7228581756
减少,412,5.7228581756
用户,411,5.70851677139
认定,409,5.67983396296
旅游,409,5.67983396296
法官,408,5.66549255875
车辆,407,5.65115115454
现象,407,5.65115115454
只能,406,5.63680975032
办法,406,5.63680975032
首次,405,5.62246834611
律师,405,5.62246834611
老人,404,5.6081269419
水平,404,5.6081269419
资源,403,5.59378553769
治疗,403,5.59378553769
广州,402,5.57944413347
治理,402,5.57944413347
检测,402,5.57944413347
安排,401,5.56510272926
长期,401,5.56510272926
人大代表,401,5.56510272926
国务院,401,5.56510272926
成,400,5.55076132505
农村,399,5.53641992083
规范,398,5.52207851662
改善,398,5.52207851662
加大,397,5.50773711241
确保,397,5.50773711241
很大,396,5.49339570819
成本,395,5.47905430398
处,394,5.46471289977
压力,391,5.42168868713
担任,391,5.42168868713
确实,390,5.40734728291
交易,390,5.40734728291
马来西亚,390,5.40734728291
检方,389,5.3930058787
小区,389,5.3930058787
朋友,389,5.3930058787
加快,388,5.37866447449
母亲,388,5.37866447449
打击,387,5.36432307027
变化,387,5.36432307027
确认,385,5.33564026185
结束,384,5.32129885764
网上,382,5.29261604921
李克强,382,5.29261604921
金融,382,5.29261604921
承担,382,5.29261604921
符合,381,5.278274645
商品,381,5.278274645
取消,380,5.26393324078
非法,379,5.24959183657
台湾,379,5.24959183657
力度,379,5.24959183657
多个,378,5.23525043236
公安局,378,5.23525043236
生态,377,5.22090902814
面对,377,5.22090902814
启动,376,5.20656762393
文件,376,5.20656762393
找到,375,5.19222621972
导弹,375,5.19222621972
禁止,373,5.16354341129
越来越,373,5.16354341129
事发,371,5.13486060286
行政,370,5.12051919865
支付,368,5.09183639022
数量,367,5.07749498601
判决,367,5.07749498601
月份,367,5.07749498601
规模,366,5.0631535818
做出,366,5.0631535818
新政,364,5.03447077337
天,363,5.02012936916
问,363,5.02012936916
职务,360,4.97710515652
产业,360,4.97710515652
品牌,358,4.94842234809
小学,358,4.94842234809
垃圾,358,4.94842234809
来到,357,4.93408094388
父亲,357,4.93408094388
